time,P
2023-03-27 8:52:42.8770,100053.4
2023-03-27 8:52:43.8840,100053.41
2023-03-27 8:52:45.3230,100053.42
2023-03-27 8:52:46.3890,100053.42
2023-03-27 8:52:47.4560,100053.42
2023-03-27 8:52:48.5230,100053.59
2023-03-27 8:52:49.6000,100053.59
2023-03-27 8:52:50.6670,100053.68
2023-03-27 8:52:51.7330,100053.73
2023-03-27 8:52:52.7990,100053.73
2023-03-27 8:52:53.8850,100053.54
2023-03-27 8:52:54.9440,100053.5
2023-03-27 8:52:56.0110,100053.46
2023-03-27 8:52:57.0810,100053.38
2023-03-27 8:52:58.1600,100053.38
2023-03-27 8:52:59.2250,100053.44
2023-03-27 8:53:00.2920,100053.48
2023-03-27 8:53:01.3570,100053.5
2023-03-27 8:53:02.4330,100053.48
2023-03-27 8:53:03.4980,100053.47
2023-03-27 8:53:04.5670,100053.39
2023-03-27 8:53:05.6350,100053.26
2023-03-27 8:53:06.7100,100053.11
2023-03-27 8:53:07.7780,100052.99
2023-03-27 8:53:08.8430,100052.9
2023-03-27 8:53:09.9110,100052.89
2023-03-27 8:53:10.9880,100052.9
2023-03-27 8:53:12.0520,100052.95
2023-03-27 8:53:22.5080,100053.15
2023-03-27 8:53:22.5100,100053.15
2023-03-27 8:53:22.5110,100053.15
2023-03-27 8:53:22.5120,100053.15
2023-03-27 8:53:23.2930,100052.64
